name,url,author,date
"Finally, it’s easier to navigate national parks using Google Maps",https://www.theverge.com/2023/4/11/23677649/google-maps-national-parks-trail-directions,JUSTINE CALMA,APR 11
NFL Sunday Ticket on YouTube starts at $249 for the 2023 season,https://www.theverge.com/23677643/nfl-sunday-ticket-2023-youtube-price-tv,DAVID PIERCE,APR 11
The Steve Jobs Archive releases free ebook collecting Jobs’ speeches and photos,https://www.theverge.com/2023/4/11/23678526/steve-jobs-archive-lovefrom-make-something-wonderful-ebook-book-release,JESS WEATHERBED,APR 11
Is Microsoft getting ready to add PC games to Xbox Cloud Gaming?,https://www.theverge.com/2023/4/11/23678512/microsoft-xbox-cloud-gaming-pc-games-ee-partnership,TOM WARREN,APR 11
Android devices can now automatically archive little-used apps,https://www.theverge.com/2023/4/11/23678472/android-auto-app-archive-feature-release-storage,JESS WEATHERBED,APR 11
Mini’s cars are getting an ‘intelligent personal assistant’ named Spike,https://www.theverge.com/2023/4/11/23678471/spike-english-bulldog-mini-bmw-aceman-countryman-cooper-personal-assistant,JON PORTER,APR 11
Fortnite’s new update adds Attack on Titan gear,https://www.theverge.com/2023/4/11/23677443/fortnite-update-attack-on-titan-odm-gear,ANDREW WEBSTER,APR 11
Microsoft Teams now has Snapchat’s Lenses for video calls,https://www.theverge.com/2023/4/11/23678438/microsoft-teams-snapchat-lenses-feature,TOM WARREN,APR 11
"PC shipments fell sharply last quarter, with Apple among hardest hit",https://www.theverge.com/2023/4/11/23678441/pc-shipment-fall-covid-pandemic-work-from-home-supply-chains-economic-uncertainty,JON PORTER,APR 11
Beau Is Afraid is an exercise in laughing to keep from screaming,https://www.theverge.com/23671900/beau-is-afraid-review,CHARLES PULLIAM-MOORE,APR 11
Elon Musk tweets then deletes DMs from Matt Taibbi over his Substack snit,https://www.theverge.com/2023/4/10/23678105/elon-musk-substack-notes-battle-matt-taibbi,JAY PETERS,APR 11
Elon Musk says SpaceX’s Starship spacecraft is ready to launch soon,https://www.theverge.com/2023/4/10/23677525/spacex-starship-super-heavy-starbase-launch-ready,UMAR SHAKIR,APR 11
Here are the best noise-canceling headphone deals we could find,https://www.theverge.com/good-deals/22865895/noise-canceling-headphone-deals-apple-bose-microsoft-deal-sale,SHEENA VASANI,APR 11
Star Wars: The Bad Batch will return for a third and final season in 2024,https://www.theverge.com/2023/4/10/23677550/star-wars-bad-batch-third-final-season-2024-disney,EMMA ROTH,APR 11
"Florida Mayhem won the first Overwatch League pro-am tournament, but the amateurs were the bigger winners",https://www.theverge.com/2023/4/10/23677293/overwatch-league-pro-am-tournament-2023,ASH PARRISH,APR 11
"Bitcoin’s insatiable appetite for energy is driving up pollution and costs for Americans, report finds",https://www.theverge.com/2023/4/10/23677113/bitcoin-mine-investigation-energy-emissions-electricity-bills-new-york-times,JUSTINE CALMA,APR 11
The best wireless earbuds to buy right now,https://www.theverge.com/21309820/best-wireless-earbuds,CHRIS WELCH,APR 10
The end is nigh for gas-powered cars,https://www.theverge.com/2023/4/10/23677157/ev-rules-epa-emission-standards-biden-ice-gas-car-end,ANDREW J. HAWKINS,APR 10
Netflix is making a Stranger Things animated series,https://www.theverge.com/2023/4/10/23677445/stranger-things-animated-series-netflix,JAY PETERS,APR 10
YouTube is giving Premium subscribers higher-quality video than everyone else,https://www.theverge.com/2023/4/10/23677141/youtube-premium-subscribers-higher-quality-video-1080p,EMMA ROTH,APR 10
You can try The New York Times’ new math-based puzzle game right now,https://www.theverge.com/2023/4/10/23677232/new-york-times-digits-math-puzzle-game-nyt,JAY PETERS,APR 10
"Bing, Bard, and ChatGPT: AI chatbots are rewriting the internet",https://www.theverge.com/23610427/chatbots-chatgpt-new-bing-google-bard-conversational-ai,UMAR SHAKIR,APR 10
Tesla’s next Megapack battery storage factory will be in Shanghai,https://www.theverge.com/2023/4/10/23676930/teslas-megafactory-megapack-shanghai-china-announcement,UMAR SHAKIR,APR 10
Mario games on Nintendo Switch are $20 off to keep the movie hype going,https://www.theverge.com/2023/4/10/23676933/nintendo-switch-mario-games-bose-soundlink-flex-hori-split-pad-apple-deal-sale,ANTONIO G. DI BENEDETTO,APR 10
Hashtags are everything on Mastodon — why not give them a home?,https://www.theverge.com/23673125/mastodon-separate-tags-hashtag-navigation-accessibility,ADI ROBERTSON,APR 10
Google cuts off third-party smart displays as Assistant support dwindles,https://www.theverge.com/2023/4/10/23676959/google-third-party-assistant-smart-displays-updates-bard,EMMA ROTH,APR 10
The best Android phone to buy in 2023,https://www.theverge.com/23674658/best-android-phone,ALLISON JOHNSON,APR 10
Domino’s now lets you order pizza via Apple CarPlay,https://www.theverge.com/2023/4/10/23677003/dominos-apple-carplay-in-car-pizza-easy-order,UMAR SHAKIR,APR 10
A Texas court ruling just threatened abortion pill access nationwide,https://www.theverge.com/2023/4/10/23619174/texas-kacsmaryk-washington-abortion-pill-fda-approval-lawsuit-injunction,ADI ROBERTSON,APR 10
Google Pixel 7A leak reveals new blue color,https://www.theverge.com/2023/4/10/23676986/google-pixel-7a-leak-blue-color-features,CHRIS WELCH,APR 10
A better ChatGPT app: Poe wants to build the universal AI messaging client,https://www.theverge.com/23674656/poe-ai-chatbot-messaging-app,DAVID PIERCE,APR 10
Star Wars Celebration 2023: all the trailers and news,https://www.theverge.com/23672874/star-wars-celebration-2023-trailers-news,ANDREW WEBSTER,APR 10
Star Wars: Visions Volume 2’s first trailer is spectacular in every sense of the word,https://www.theverge.com/star-wars/2023/4/10/23676944/star-wars-visions-volume-2-trailer,CHARLES PULLIAM-MOORE,APR 10
The Steambox is an electric lunchbox looking for a problem to solve,https://www.theverge.com/23659598/steambox-electric-lunchbox-battery,MITCHELL CLARK,APR 10
Hatch Restore 2 review: TikTok made me try it,https://www.theverge.com/23673132/hatch-restore-2-review-tiktok-sleep-tech,VICTORIA SONG,APR 9
"Substack CEO pushes back at Elon Musk, says Twitter situation is ‘very frustrating’",https://www.theverge.com/2023/4/8/23675801/substack-ceo-pushes-back-at-elon-says-twitter-situation-is-very-frustrating,NILAY PATEL,APR 9
Organizing my pretty pile of garbage,https://www.theverge.com/23672998/organizing-scrapbooking-collaging-digital-archives-weekend-plans-offline,MIA SATO,APR 8
Here are the best Amazon Echo deals right now,https://www.theverge.com/21546591/best-amazon-echo-deals,BRANDON WIDDER AND SHEENA VASANI,APR 8
Have a Nice Death is a punishing roguelike with a dark sense of humor,https://www.theverge.com/23674638/have-a-nice-death-roguelike-nintendo-switch-hades-2,ASH PARRISH,APR 8
